String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Dunlop Hexy Fiber 16,40,Fast,Nylon,120,28.7,3.6
Gamma Prodigy 16,40,Fast,Nylon,140.6,26.1,3.5
Wilson Synthetic Gut Extreme 17,62,Fast,Nylon,206.9,17.5,2.8
Gosen Powermaster I 16,51,Fast,Nylon,162.9,22.4,3.9
Dunlop Comfort Synthetic 16,51,Fast,Nylon,177.2,19.7,4.1
Dunlop Tour Performance 16,62,Fast,Nylon,181.2,21.2,4.1
Pacific PMX 17,40,Fast,Nylon,114.3,28.8,NA
Babolat Origin 17,51,Fast,Nylon,171.5,17.3,6.4
Wilson NXT Duramax 15 (1.40),51,Fast,Nylon,161.7,17.6,4.5
Babolat Addiction 17,62,Fast,Nylon,173.7,17.7,2.6
Babolat Super Fine Play 16,51,Fast,Nylon,191.5,21.7,3.8
Prince Premier LT 18,40,Fast,Nylon,128.6,29.6,3.5
Alpha Gut 2000 16,51,Fast,Nylon,159.4,16.5,3.1
Gosen AK Pro CX 17 (1.24),51,Fast,Nylon,156.6,14.7,6.2
Prince Premier W/Softflex 16,51,Fast,Nylon,142.3,25.2,3.3
Wilson Hollow Core 16,62,Fast,Nylon,183.5,29.5,3.3
Wilson Sensation 15 (1.35),51,Fast,Nylon,154.3,16.6,4.8
Head FXP Power 16,62,Fast,Nylon,198.9,21.2,4.6
Wilson NXT Max 16,51,Fast,Nylon,169.7,20.7,2.5
Gamma TNT2 Touch 16,40,Fast,Nylon,125.2,35.6,3.4
Prince Synthetic Gut 16 Duraflex,40,Fast,Nylon,149.2,22.8,NA
Weiss Cannon Explosiv 1.30,62,Fast,Nylon,169.7,22.4,4
Babolat FiberTour 16,62,Fast,Nylon,181.7,19.6,3.1
Pacific Power Line 17,51,Fast,Nylon,174.3,22.3,3.5
Babolat SG SpiralTek 16,40,Fast,Nylon,136.6,21.8,4.1
Tecnifibre X-One Biphase 18,62,Fast,Nylon,168,18.4,1.6
Wilson Hollow Core Pro 16,62,Fast,Nylon,174.9,28.2,2.2
Head Fibergel Spin 16,62,Fast,Nylon,188.6,21.8,3.5
Gamma Ocho TNT 17 (1.25),51,Fast,Nylon,186.3,10.7,5
Gosen OG Sheep Micro 17,40,Fast,Nylon,133.7,28.9,3.2
Kirschbaum Touch Multifibre 16,51,Fast,Nylon,161.7,23.3,4.1
Prince Recoil 16,62,Fast,Nylon,200.6,21.7,3.4
Prince Premier Touch 17,62,Fast,Nylon,138.9,19,4.2
Tecnifibre NRG2 17/1.24,40,Fast,Nylon,138.9,17.5,3.5
Gosen Nanocubic 16,62,Fast,Nylon,204.6,19.3,4
Tecnifibre E-Matrix 17,62,Fast,Nylon,162.9,16.7,2.4
Volkl Power-Fiber II 18,51,Fast,Nylon,157.2,22.8,2.9
Wilson Extreme 16 Synthetic Gut,62,Fast,Nylon,201.7,19.5,3.2
Dunlop Pearl 16 (1.30),51,Fast,Nylon,138.3,17.6,3.9
Volkl Gripper 17,51,Fast,Nylon,138.3,24.5,4.4
Solinco Vanquish 16,51,Fast,Nylon,160,20.8,3.9
Wilson Shock Shield 16,40,Fast,Nylon,125.2,38.1,2.3
Gamma TNT2 Pro Plus 16,40,Fast,Nylon,134.3,28.6,3.1
Gamma TNT2 Pro Plus 17L (1.24),51,Fast,Nylon,149.2,17.7,4.6
Gosen Nanoblend 17,51,Fast,Nylon,132,27.3,NA
Klip Kicker 16,62,Fast,Nylon,194.3,25.2,3.7
Prince Premier Control 15,51,Fast,Nylon,154.3,18.9,4.6
Tourna Irradiated 17,51,Fast,Nylon,153.7,17.1,5.4
Gamma TNT2 16,40,Fast,Nylon,148.6,23.7,3.2
Prince Premier W/ Softflex 17,62,Fast,Nylon,169.7,21.6,3.2
Head ETS 16,51,Fast,Nylon,156,24.7,1.9
Dunlop Tour Performance 16,40,Fast,Nylon,133.2,24.2,4.1
Klip Scorcher 16/1.30,51,Fast,Nylon,167.4,24.5,3.2
Wilson Hollow Core Pro 17,62,Fast,Nylon,174.3,30.1,3.9
Mantis Comfort Synthetic 16,51,Fast,Nylon,149.2,24.4,3.8
Prince Topspin W/ Duraflex 15L,40,Fast,Nylon,155.4,20.6,3.5
Gamma Live Wire XP 17 (1.27),51,Fast,Nylon,150.3,18.7,4
Gosen A.K. Control 16,62,Fast,Nylon,179.5,20.6,5.4
Prince Premier Control 16,40,Fast,Nylon,133.2,23.3,5.4
Volkl Power-Fiber II 17,62,Fast,Nylon,176.6,18.4,2.7
Head FXP 17,62,Fast,Nylon,194.3,19.1,4.1
Gamma Asterisk 16,51,Fast,Nylon,156.6,21.2,3.8
Dunlop DNA 17 (1.22),51,Fast,Nylon,145.2,28.2,4.1
Babolat M7 16 (1.30),51,Fast,Nylon,160.6,18.7,4.7
Head Velocity MLT 17 (1.25),51,Fast,Nylon,153.2,14.7,5.5
Dunlop Comfort Synthetic 17,62,Fast,Nylon,221.2,17.2,NA
Wilson Stamina 16,40,Fast,Nylon,156.6,26.3,3
Klip Venom 16/1.30,62,Fast,Nylon,189.2,18,2.3
Wilson NXT Tour 17,40,Fast,Nylon,148,22.9,3.6
Babolat Xcel Premium 17,40,Fast,Nylon,130.9,19.8,0
Yonex Mono Preme 16 (1.30),51,Fast,Nylon,166.3,13.9,5
Dunlop Silk 17,62,Fast,Nylon,157.2,26.4,3.5
Yonex Tournament 50 16L,62,Fast,Nylon,191.5,20.5,NA
Prince Synthetic Gut Multifilament 17,51,Fast,Nylon,161.2,22.6,3.1
Gamma Revelation 17 (1.27),51,Fast,Nylon,145.7,19.4,3.7
Gosen Powermaster II 16,40,Fast,Nylon,131.4,26.1,3.7
Babolat Xcel 16,62,Fast,Nylon,172,17.3,3
Prince Premier Power 16,62,Fast,Nylon,172.6,18.7,4.6
Babolat Xcel Power 17,51,Fast,Nylon,145.7,21.7,3.6
Solinco X-Natural 17 (1.20),51,Fast,Nylon,158.9,21.3,5.1
Dunlop Synthetic Gut 16,40,Fast,Nylon,145.2,25.6,3.9
Ashaway Liberty 16,40,Fast,Nylon,138.9,26.9,4.6
Tecnifibre NRG2 16,51,Fast,Nylon,158.3,18.3,3.2
Prince Syn Gut Original 16,40,Fast,Nylon,157.2,26.4,2.9
Wilson NXT OS,51,Fast,Nylon,169.7,18.8,2.5
Wilson NXT 15L (1.35),51,Fast,Nylon,152,18.5,7
Wilson K-Gut 16,40,Fast,Nylon,149.7,23.8,4.4
Dunlop X-Life Synthetic 15L,51,Fast,Nylon,177.2,22.1,3.5
Pacific Premium Power X 16L,40,Fast,Nylon,144,25,3.3
Wilson Optimus 16 (1.30),51,Fast,Nylon,140,22.8,3.6
Head ETS 17,51,Fast,Nylon,152,21.3,1.9
Gamma WearGuard Synthetic Gut 16,51,Fast,Nylon,165.2,22,2.8
Prince Synthetic Gut 18 Duraflex,40,Fast,Nylon,138.9,24.2,3.6
Gamma Ocho TNT 16 (1.30),51,Fast,Nylon,186.9,13.2,5.4
Gosen AK Pro 17,62,Fast,Nylon,183.5,19.9,4.4
Gamma Asterisk Spin 16,40,Fast,Nylon,121.2,28.1,3.9
Prince Premier LT 17,51,Fast,Nylon,153.2,30.1,3.3
Prince Premier Touch 15L,40,Fast,Nylon,142.9,39.5,4.4
Wilson NXT Tour 16,62,Fast,Nylon,202.9,18,3.8
Wilson Synthetic Gut Power 17 (1.25),51,Fast,Nylon,158.3,15,5.5
Wilson K-Gut Pro 16,51,Fast,Nylon,168,18.3,1.6
Prince Topspin Plus 16,40,Fast,Nylon,144.6,22.6,5.3
Babolat Conquest 16,62,Fast,Nylon,201.7,26.6,4.3
Wilson Red Alert 16,62,Fast,Nylon,225.7,17.3,3
Prince Syn Gut Original 17,51,Fast,Nylon,180.6,16.5,3.8
Gamma Marathon DPC 16 (1.32),51,Fast,Nylon,170.9,13.1,5.2
Gosen OG Sheep Micro Super 16L,40,Fast,Nylon,146.3,23.7,2.7
Klip Synthetic Gut 16,51,Fast,Nylon,165.7,24.8,4.2
Pacific PMX 16L,62,Fast,Nylon,168.6,21.9,2
Prince Premier Control 15L,62,Fast,Nylon,172.6,16.9,4.6
Dunlop Silk 16 (1.30),62,Fast,Nylon,171.5,22.8,3.4
Dunlop Explosive Synthetic Gut 17,51,Fast,Nylon,175.5,18.3,NA
Wilson Reaction 16,62,Fast,Nylon,170.3,24.4,2.4
Prince Lightning XX 16,51,Fast,Nylon,180.6,19.3,3.4
Double AR 666 (1.30),40,Fast,Nylon,134.9,31.1,5.8
Volkl Synthetic Gut 17,62,Fast,Nylon,181.2,21.2,5.2
Gamma TNT2 Rx 16,40,Fast,Nylon,154.9,27.1,4.5
Head Reflex MLT 16 (1.30),62,Fast,Nylon,180,20.2,5.1
Gamma TNT2 15L (1.40),51,Fast,Nylon,180.6,15.6,5.7
Gosen Nanosilver 17,51,Fast,Nylon,156.6,21.7,4.5
Pacific Power Line 16L,51,Fast,Nylon,181.2,19.4,3.4
Prince Premier Control 17,51,Fast,Nylon,153.2,19.4,4.7
Dunlop DNA 16 (1.30),40,Fast,Nylon,122.9,29.8,3.6
Volkl Gripper 16,40,Fast,Nylon,125.7,28.1,NA
Gamma Asterisk 16,62,Fast,Nylon,178.3,21.9,3.8
Prince Synthetic Gut 17 Duraflex,62,Fast,Nylon,212,19.3,NA
Diadem Impulse 17 (1.25),51,Fast,Nylon,141.7,21.5,4.1
Klip Excellerator 16/1.30,51,Fast,Nylon,160.6,20.1,2.7
Wilson NXT 17,62,Fast,Nylon,178.3,20.9,2
Gamma ESP 16,51,Fast,Nylon,157.7,27.1,2.6
Prince Synthetic Gut Multifilament 16,40,Fast,Nylon,141.7,23.1,2.7
Gamma Synthetic Gut 17 W/wearguard (1.22),51,Fast,Nylon,160.6,14.4,5
Gosen Compositemaster II 16,62,Fast,Nylon,171.5,23.3,4.5
Dunlop Explosive Synthetic 16,62,Fast,Nylon,200.6,20.9,3.6
Head Synthetic Gut PPS 16,51,Fast,Nylon,169.7,23.3,3.9
Prince Premier Power 18,40,Fast,Nylon,116.6,25.9,5
Head FXP Power 17,62,Fast,Nylon,176,19.3,4.5
Ashaway Synthetic Gut 16,62,Fast,Nylon,188.6,23,4.6
Forten Sweet 16,51,Fast,Nylon,188.6,22.6,3.4
Dunlop M-Fil Tour 16,62,Fast,Nylon,182.9,20.7,4.3
Dunlop Hexy Fiber 17,62,Fast,Nylon,169.7,22.4,3.7
Wilson Sensation 16,40,Fast,Nylon,145.2,22.9,3.5
Wilson NXT 16,40,Fast,Nylon,145.2,23.8,3.9
Gamma Synthetic Gut 16,62,Fast,Nylon,220.6,18.8,3.6
Wilson Synthetic Gut Extreme 17,51,Fast,Nylon,185.2,19.2,2.8
Gosen Powermaster I 16,40,Fast,Nylon,136,27.3,3.9
Dunlop Comfort Synthetic 16,40,Fast,Nylon,144,26.3,4.1
Babolat Xcel Power 16,62,Fast,Nylon,182.9,16.8,3.8
Pacific Power Twist 16L,62,Fast,Nylon,182.3,21.1,3.2
Babolat Origin 17,62,Fast,Nylon,192,15.1,6.4
Wilson NXT Duramax 15 (1.40),62,Fast,Nylon,181.7,14.5,4.5
Babolat Addiction 17,51,Fast,Nylon,153.7,20.1,2.6
Babolat Super Fine Play 16,40,Fast,Nylon,154.9,30.9,3.8
Alpha Gut 2000 16,62,Fast,Nylon,180.6,14.4,3.1
Gosen AK Pro CX 16 (1.30),51,Fast,Nylon,158.3,14.1,6.5
Prince Premier W/Softflex 16,40,Fast,Nylon,117.2,28.3,3.3
Wilson Hollow Core 16,51,Fast,Nylon,150.3,33.7,3.3
Wilson NXT Duramax 16 (1.32),51,Fast,Nylon,160,13.7,5.7
Head FXP Power 16,51,Fast,Nylon,194.3,25.6,4.6
Wilson NXT Max 16,40,Fast,Nylon,147.4,23.5,2.5
Gamma TNT2 Touch 16,51,Fast,Nylon,153.7,26.1,3.4
Weiss Cannon Explosiv 1.30,51,Fast,Nylon,150.9,25.3,4
Babolat FiberTour 16,51,Fast,Nylon,163.4,22.8,3.1
Pacific Power Line 17,40,Fast,Nylon,147.4,23.3,3.5
Babolat SG SpiralTek 16,51,Fast,Nylon,161.7,15.3,4.1
Tourna Irradiated 16,62,Fast,Nylon,188,21.4,3
Tecnifibre X-One Biphase 18,51,Fast,Nylon,145.7,18.9,1.6
Wilson Hollow Core Pro 16,51,Fast,Nylon,146.9,31.7,2.2
Head Fibergel Spin 16,51,Fast,Nylon,168.6,25,3.5
Gosen OG Sheep Micro 18,62,Fast,Nylon,178.3,20.1,3.2
Kirschbaum Touch Multifibre 16,40,Fast,Nylon,133.2,27.1,4.1
Prince Recoil 16,51,Fast,Nylon,173.7,23.8,3.4
Prince Premier Touch 16,40,Fast,Nylon,141.2,42.5,4.1
Gosen Nanocubic 16,51,Fast,Nylon,183.5,20.7,4
Weiss Cannon 6 Star 16 (1.30),51,Fast,Nylon,151.4,16.3,4.7
Tecnifibre E-Matrix 17,51,Fast,Nylon,143.4,19.1,2.4
Volkl Power-Fiber II 18,40,Fast,Nylon,134.9,25.1,2.9
Wilson Extreme 16 Synthetic Gut,51,Fast,Nylon,174.3,20,3.2
Dunlop Pearl 17 (1.25),51,Fast,Nylon,145.2,18.1,3.1
Volkl Gripper 17,40,Fast,Nylon,116.6,27,4.4
Solinco Vanquish 16,40,Fast,Nylon,136,24.6,3.9
Tourna Quasi-Gut 16,62,Fast,Nylon,181.7,22.6,0
Wilson SGX 16,62,Fast,Nylon,190.3,12.6,3.1
Gamma TNT2 Touch 17 (1.27),51,Fast,Nylon,132,28.2,3.4
Gosen Nanoblend 17,40,Fast,Nylon,112,28,NA
Klip Kicker 16,51,Fast,Nylon,178.9,19.1,3.7
Kirschbaum Touch Multifibre 17 (1.25),62,Fast,Nylon,190.3,20.4,3.5
Prince Premier Control 15,62,Fast,Nylon,174.3,17,4.6
Dunlop Explosive Poly Max 16,62,Fast,Nylon/Polyester,177.2,21.2,3.4
Head FXP Tour 16,62,Fast,Nylon/Polyester,129.2,20.7,4.2
Tecnifibre HDX Tour 16 (1.30),51,Fast,Nylon/Polyester,149.2,12,4.3
Wilson NXT Control 16 (1.32),40,Fast,Nylon/Polyester,125.2,44,3
Babolat RPM Team 17 (1.25),51,Fast,Nylon/Polyester,245.2,23.2,5.3
Tecnifibre Pro Mix 17,62,Fast,Nylon/Polyester,189.2,28,3.7
IsoSpeed Energetic Plus 16,51,Fast,Nylon/Polyester,155.4,22.4,2.4
Tecnifibre Pro Mix 16,62,Fast,Nylon/Polyester,189.2,31.6,2.6
Tecnifibre Duramix HD 16,62,Fast,Nylon/Polyester,191.5,27.5,2.2
Tourna Synthetic Gut Armor 17,51,Fast,Nylon/Polyester,157.2,15.5,6.1
SuperString VooDoo Tour V9 17,62,Fast,Nylon/Polyester,178.9,29.4,NA
Tecnifibre Duramix HD 17,62,Fast,Nylon/Polyester,192,26.4,1.7
Head FXP 16,62,Fast,Nylon/Polyester,188,20.5,3.8
Dunlop Explosive Poly Max 16,51,Fast,Nylon/Polyester,158.3,23.5,3.4
Tecnifibre HDX Tour 16 (1.30),62,Fast,Nylon/Polyester,165.2,11.7,4.3
Wilson Enduro Pro 17 (1.25),62,Fast,Nylon/Polyester,245.7,31.4,4
Tecnifibre Pro Mix 17,51,Fast,Nylon/Polyester,169.7,34.3,3.7
Head FXP Tour 16,40,Fast,Nylon/Polyester,109.2,35.4,4.2
IsoSpeed Energetic Plus 16,40,Fast,Nylon/Polyester,145.7,28.5,2.4
Tecnifibre Pro Mix 16,51,Fast,Nylon/Polyester,156.6,37.7,2.6
Tecnifibre Duramix HD 16,51,Fast,Nylon/Polyester,162.3,34.1,2.2
Tourna Quasi-Gut Armor 17,51,Fast,Nylon/Polyester,144,17.6,5.6
SuperString VooDoo Tour V9 17,51,Fast,Nylon/Polyester,160.6,31.5,NA
Tecnifibre Duramix HD 17,51,Fast,Nylon/Polyester,169.7,32,1.7
Wilson NXT Control 16 (1.32),62,Fast,Nylon/Polyester,201.2,25.1,3
Head FXP 16,51,Fast,Nylon/Polyester,165.2,22.8,3.8
Dunlop Explosive Poly Max 16,40,Fast,Nylon/Polyester,142.3,27.2,3.4
Wilson Enduro Pro 17 (1.25),51,Fast,Nylon/Polyester,226.9,32.9,4
Tecnifibre Pro Mix 17,40,Fast,Nylon/Polyester,129.2,42.4,3.7
Head FXP Tour 16,51,Fast,Nylon/Polyester,116.6,22.8,4.2
Tecnifibre Pro Mix 16,40,Fast,Nylon/Polyester,122.3,48.2,2.6
Tecnifibre Duramix HD 16,40,Fast,Nylon/Polyester,128,46.1,2.2
Tecnifibre HDX Tour 16 (1.30),40,Fast,Nylon/Polyester,133.7,15.7,4.3
Tourna Quasi-Gut Armor 16,51,Fast,Nylon/Polyester,153.2,13.2,4.9
SuperString VooDoo Tour V9 17,40,Fast,Nylon/Polyester,138.3,36.7,NA
Tecnifibre Duramix HD 17,40,Fast,Nylon/Polyester,138.9,40.4,1.7
Wilson NXT Control 16 (1.32),51,Fast,Nylon/Polyester,163.4,31,3
Head FXP 16,40,Fast,Nylon/Polyester,143.4,24.7,3.8
IsoSpeed Energetic Plus 16,62,Fast,Nylon/Polyester,168,20.1,2.4
Wilson Enduro Pro 17 (1.25),40,Fast,Nylon/Polyester,214.9,38.6,4
Tourna Synthetic Gut Armor 16,51,Fast,Nylon/Polyester,172,14.3,5.9
IsoSpeed Axon Multi 16L,40,Fast,Nylon/Polyolefin,116,35.4,3
IsoSpeed Control 16,62,Fast,Nylon/Polyolefin,159.4,22.7,NA
IsoSpeed Control 16,51,Fast,Nylon/Polyolefin,149.7,25.3,NA
IsoSpeed Energetic 17,62,Fast,Nylon/Polyolefin,170.3,33.5,1.9
Head RIP PerfectPower 16,51,Fast,Nylon/Polyolefin,156.6,23.1,2.3
IsoSpeed Axon Multi 16L,62,Fast,Nylon/Polyolefin,136,28.4,3
Head RIP Control 16,62,Fast,Nylon/Polyolefin,182.9,21.1,2.6
IsoSpeed Control 16,40,Fast,Nylon/Polyolefin,133.2,31.2,NA
Head Rip Control 17 (1.25),51,Fast,Nylon/Polyolefin,137.7,18.3,4.2
IsoSpeed Energetic 17,51,Fast,Nylon/Polyolefin,156.6,34.3,1.9
Head RIP PerfectPower 16,62,Fast,Nylon/Polyolefin,170.9,21.1,2.3
IsoSpeed Axon Multi 16L,51,Fast,Nylon/Polyolefin,126.3,29.1,3
Head RIP PerfectPower 16,40,Fast,Nylon/Polyolefin,134.9,29.9,2.3
Head RIP Control 16,51,Fast,Nylon/Polyolefin,156.6,22.2,2.6
IsoSpeed Energetic 17,40,Fast,Nylon/Polyolefin,144.6,35.2,1.9
Dunlop S-Gut 17,62,Fast,Nylon/Polyurethane,187.5,20,3.1
Tecnifibre XR3 16,51,Fast,Nylon/Polyurethane,162.9,20.8,2.9
Tecnifibre Multi-Feel 16,62,Fast,Nylon/Polyurethane,178.3,19.2,3.3
Tecnifibre X-One Biphase 17,40,Fast,Nylon/Polyurethane,145.7,15.4,2.1
Babolat Attraction 16,51,Fast,Nylon/Polyurethane,157.7,20,2.7
Tecnifibre TGV 16,40,Fast,Nylon/Polyurethane,131.4,28.4,3.1
Gosen TecGut Remplir 16,51,Fast,Nylon/Polyurethane,150.9,31.1,4.6
Tecnifibre Multi-Feel 17 (1.25),62,Fast,Nylon/Polyurethane,173.7,18.8,2.6
LaserFibre Supreme 2.0 17 (1.25),51,Fast,Nylon/Polyurethane,142.9,19.7,NA
Tecnifibre TGV 17/1.25,51,Fast,Nylon/Polyurethane,165.2,21.2,3
Tecnifibre NRG2 18 (1.18),62,Fast,Nylon/Polyurethane,172.6,18.3,2.6
Tecnifibre X-One Biphase 16,40,Fast,Nylon/Polyurethane,138.3,18.3,1.6
Dunlop S-Gut 17,51,Fast,Nylon/Polyurethane,163.4,21.4,3.1
Tecnifibre XR3 16,40,Fast,Nylon/Polyurethane,141.7,22.8,2.9
Tecnifibre Multi-Feel 16,51,Fast,Nylon/Polyurethane,154.9,21.4,3.3
Tecnifibre XR3 17,62,Fast,Nylon/Polyurethane,180.6,17.5,3
Babolat Attraction 16,40,Fast,Nylon/Polyurethane,138.9,24.8,2.7
Tecnifibre E-Matrix 16,62,Fast,Nylon/Polyurethane,163.4,17.5,2.7
Gosen TecGut Remplir 16,40,Fast,Nylon/Polyurethane,121.7,32.9,4.6
Tecnifibre Multi-Feel 17 (1.25),51,Fast,Nylon/Polyurethane,150.3,20.9,2.6
LaserFibre Supreme 2.0 16 (1.30),51,Fast,Nylon/Polyurethane,146.3,20,NA
Tecnifibre TGV 17/1.25,40,Fast,Nylon/Polyurethane,137.7,26.8,3
Tecnifibre X-One Biphase 17,62,Fast,Nylon/Polyurethane,184.6,15.1,2.1
Tecnifibre NRG2 18 (1.18),51,Fast,Nylon/Polyurethane,150.9,20,2.6
Tecnifibre TGV 16,62,Fast,Nylon/Polyurethane,174.9,22.4,3.1
Tecnifibre HDX Tour 17 (1.24),51,Fast,Nylon/Polyurethane,144,10.9,5.7
Dunlop S-Gut 17,40,Fast,Nylon/Polyurethane,137.2,24.9,3.1
Tecnifibre Multi-Feel 16,40,Fast,Nylon/Polyurethane,140,23.9,3.3
Tecnifibre XR3 17,51,Fast,Nylon/Polyurethane,160.6,18,3
Tecnifibre E-Matrix 16,51,Fast,Nylon/Polyurethane,143.4,20.4,2.7
Tecnifibre X-One Biphase 16,62,Fast,Nylon/Polyurethane,184.6,14.6,1.6
Tecnifibre Multi-Feel 17 (1.25),40,Fast,Nylon/Polyurethane,131.4,24,2.6
Tecnifibre Multifeel 16 Black (1.30),51,Fast,Nylon/Polyurethane,148.6,18.1,6.9
Tecnifibre XR3 16,62,Fast,Nylon/Polyurethane,186.9,18.4,2.9
Tecnifibre X-One Biphase 17,51,Fast,Nylon/Polyurethane,166.9,15.1,2.1
Babolat Attraction 16,62,Fast,Nylon/Polyurethane,181.7,18.9,2.7
Tecnifibre TGV 16,51,Fast,Nylon/Polyurethane,157.2,24.8,3.1
Gosen TecGut Remplir 16,62,Fast,Nylon/Polyurethane,164.6,33.2,4.6
Tecnifibre NRG2 18 (1.18),40,Fast,Nylon/Polyurethane,132,21.3,2.6
Tecnifibre XR3 17,40,Fast,Nylon/Polyurethane,134.9,20.2,3
Tecnifibre E-Matrix 16,40,Fast,Nylon/Polyurethane,122.9,23.4,2.7
Tecnifibre TGV 17/1.25,62,Fast,Nylon/Polyurethane,192.6,18.8,3
Tecnifibre X-One Biphase 16,51,Fast,Nylon/Polyurethane,162.9,17.7,1.6
Gamma Professional 16,62,Fast,Nylon/Zyex,172,24.3,2.4
Gamma Live Wire 16,40,Fast,Nylon/Zyex,142.9,27.8,2.6
Gamma Revelation 16,51,Fast,Nylon/Zyex,162.3,25.7,NA
Ashaway MonoGut ZX 16,62,Fast,Nylon/Zyex,118.3,38,4.4
Ashaway Dynamite Soft 18,51,Fast,Nylon/Zyex,108,28.1,NA
Gamma Professional 16,40,Fast,Nylon/Zyex,124.6,27.8,2.4
Ashaway Dynamite Soft 17,51,Fast,Nylon/Zyex,120,28.1,2.6
Gamma Professional Spin 16,51,Fast,Nylon/Zyex,165.2,23.7,2.7
Gamma Asterisk Tour 16,51,Fast,Nylon/Zyex,162.3,24.6,3.4
Gamma Professional 16,51,Fast,Nylon/Zyex,149.7,25.1,2.4
Gamma Live Wire XP 16,62,Fast,Nylon/Zyex,178.3,22.4,2.6
Gamma Revelation 16,40,Fast,Nylon/Zyex,129.7,30.3,NA
Ashaway Dynamite Soft 18,40,Fast,Nylon/Zyex,91.4,33.3,NA
Ashaway Dynamite 17,62,Fast,Nylon/Zyex,144.6,24.5,3
Gamma Live Wire 16,62,Fast,Nylon/Zyex,177.7,29.9,2.6
Ashaway Dynamite WB 16,62,Fast,Nylon/Zyex,142.3,28.4,3.3
Ashaway MonoGut ZX 16,40,Fast,Nylon/Zyex,85.2,65.4,4.4
Ashaway Dynamite Soft 17,40,Fast,Nylon/Zyex,102.3,33.6,2.6
Gamma Professional Spin 16,40,Fast,Nylon/Zyex,140,28.2,2.7
Gamma Asterisk Tour 16,40,Fast,Nylon/Zyex,137.7,27.2,3.4
Gamma Live Wire XP 16,51,Fast,Nylon/Zyex,156.6,24.7,2.6
Ashaway Dynamite WB 16,40,Fast,Nylon/Zyex,104.6,47,3.3
Ashaway Dynamite 17,51,Fast,Nylon/Zyex,127.4,29.9,3
Gamma Live Wire 16,51,Fast,Nylon/Zyex,158.9,29.7,2.6
Ashaway Dynamite WB 16,51,Fast,Nylon/Zyex,125.2,32.9,3.3
Gamma Revelation 16,62,Fast,Nylon/Zyex,186.9,22.5,NA
Ashaway MonoGut ZX 16,51,Fast,Nylon/Zyex,105.7,47.6,4.4
Ashaway Dynamite Soft 18,62,Fast,Nylon/Zyex,127.4,24.8,NA
Gamma Live Wire XP 16,40,Fast,Nylon/Zyex,134.3,26.6,2.6
Ashaway Dynamite Soft 17,62,Fast,Nylon/Zyex,135.4,25.6,2.6
Gamma Professional Spin 16,62,Fast,Nylon/Zyex,186.9,22.1,2.7
Ashaway Dynamite 17,40,Fast,Nylon/Zyex,108.6,40.9,3
Gamma Asterisk Tour 16,62,Fast,Nylon/Zyex,186.3,20.8,3.4
Double AR Twice Shark (1.25),40,Fast,Polyester,106.3,74.3,5.7
Diadem Solstice Pro 16L (1.25),51,Fast,Polyester,190.3,29.3,NA
Signum Pro Poly-Plasma 17L (1.18),62,Fast,Polyester,222.3,38.1,5
Babolat RPM Dual 16,62,Fast,Polyester,262.9,27.4,4.6
Prince Tour XC 17L,62,Fast,Polyester,229.7,26.8,5.9
Babolat Duralast 16,51,Fast,Polyester,207.5,48.5,NA
Solinco Tour Bite 16,51,Fast,Polyester,202.9,47.1,6.7
Polyfibre Panthera 16 (1.30),51,Fast,Polyester,212.6,28.7,5.3
RS RS Lyon 17L (1.20),51,Fast,Polyester,182.9,36.7,5.1
Luxilon Savage 16/1.27,40,Fast,Polyester,208,52.9,3.4
Gosen Polylon PolyBreak 17 (1.24),62,Fast,Polyester,227.5,41.9,4.2
Weiss Cannon Scorpion 1.22,40,Fast,Polyester,162.9,57.8,4
Kirschbaum Black Shark 16 (1.30),51,Fast,Polyester,223.5,41.2,5.4
Solinco Hyper-G 16,62,Fast,Polyester,235.5,21.4,7
Weiss Cannon Silverstring 1.25,51,Fast,Polyester,195.5,43.8,3.8
Kirschbaum Touch Turbo 17 (1.25),40,Fast,Polyester,208.6,53.9,5.2
Poly Star Classic 16 (1.30),40,Fast,Polyester,168.6,58.2,4.2
Klip K-Boom 16/1.30,51,Fast,Polyester,237.2,34,4.1
One Strings Carbon Tour 17 (1.25),51,Fast,Polyester,229.2,25.4,NA
Signum Pro Poly-Plasma Pure 16L,62,Fast,Polyester,243.5,38,5.6
Tecnifibre Razor Code 18 (1.20),51,Fast,Polyester,216.6,28.3,6.1
Babolat RPM Blast 15L (1.35),51,Fast,Polyester,236.6,32.9,7.3
Kirschbaum Competition 16/1.30,62,Fast,Polyester,245.2,36.1,4.9
Wilson Enduro Tour 18,40,Fast,Polyester,124.6,68.6,NA
MSV Focus Evo 16,40,Fast,Polyester,201.2,53.9,4.9
Polyfibre TCS 16L,62,Fast,Polyester,205.7,52.5,3.8
Tecnifibre Pro Red Code 18,62,Fast,Polyester,228,34.6,5
Solinco Barb Wire 17 (1.20),51,Fast,Polyester,186.3,42.6,4.9
Prince Tour XS 16,62,Fast,Polyester,217.2,32,5.5
Double AR Diablo (1.31),40,Fast,Polyester,132,66.3,7.7
Kirschbaum Long Life 15,51,Fast,Polyester,231.5,55.4,4.6
Head Sonic Pro 16,51,Fast,Polyester,160.6,57,4.2
Topspin Cyber Blue 16,40,Fast,Polyester,173.7,50.2,5.8
Volkl V-Pro 18,40,Fast,Polyester,201.2,43.8,4.9
